ForecastID,Confirmed,Deaths
0,127360.4094278662,2202.478182414397
1,5324.861978208956,37.52177747163029
2,202259.29727736703,5065.522863195616
3,61809.18971219789,810.5818457084957
4,717976.5275742986,13139.790367461746
5,57672.31777085002,1947.1146815896946
6,52925.914077310554,4461.780738234886
7,17500.870260420135,605.6244858399575
8,625596.3593423818,11286.048464322046
9,272325.2619997175,5695.589929884246
10,8680.793279185451,73.07742416435961
11,32356.7087238108,366.6083913739783
12,238641.9332272673,8248.079126064174
13,95163.27488001688,3304.123418224618
14,66122.08379802674,1129.1906429168062
15,43142.01762712152,453.8105018162191
16,49068.12414367159,939.3675405987981
17,148923.56277826222,4976.313570766528
18,4553.34287135496,132.17860493858498
19,108769.54625861431,3763.1646680960084
20,128838.33650145805,9074.044982680523
21,113739.31772957274,6760.705120347539
22,76698.81933994473,1872.4537049625787
23,83563.69863475839,2500.015158633513
24,86939.09889677053,1555.5612276816635
25,7542.336990139295,105.54448583187114
26,34578.448359904534,399.45040255009553
27,69695.05968431113,1319.4944748437106
28,7293.699571245046,432.35198194477454
29,192244.52678240414,15928.789841674325
30,25470.286646643468,782.9080536784247
31,435257.2780318329,32929.53680116842
32,168888.05955765664,2725.321058702598
33,12045.683700583379,143.962549125853
34,124198.01831478011,4159.935119909074
35,59486.69025260062,808.3479416735954
36,26964.988724500283,463.8585767440308
37,139434.43405205238,7666.747374258413
38,22001.904321638893,1049.0140028549276
39,119937.75268635336,2748.342077255033
40,13808.498431851516,168.1418440267565
41,156421.85978439054,1777.8585076614002
42,637143.9475558843,12922.052231058504
43,52482.75285931777,410.36009133635747
44,1632.328638983013,57.93802108385946
45,121557.34006203193,2592.5862724330955
46,75200.01048557003,1923.0439361314072
47,10382.334368963597,219.77022375302244
48,76236.79963235691,1127.2384311001708
49,3886.566272159565,37.26890823647603
50,128609.98551870273,2222.0311047109767
51,5385.501134194927,37.96822832981367
52,202667.72215572122,5100.662500723094
53,62377.90641150152,823.605141059234
54,723418.4085419462,13254.314918580376
55,57937.779182078026,1950.686476412606
56,53061.92406775036,4462.286389348481
57,17577.763815638682,607.051468422638
58,627709.5121610954,11383.376072885269
59,274158.2339277494,5756.67209685357
60,8885.924791242156,76.47972454114544
61,32613.750909767863,372.0600737042329
62,240535.50142527747,8265.053566173086
63,96114.13869502957,3314.391975087808
64,67080.03520363756,1138.1387783997225
